"upeople_id","X104scmChanges","X272scmChanges","X1mslChanges","number_of_domain","country","X104linesadded","X104linesremoved","X272linesadded","X272linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
432,714,0,166,2,9,144281,117663,0,0,6,0,0,0,0,0,0.05,0.0127463278242013
1431,542,806,211,3,10,29004,38831,304238,263253,2,8,8,8,0,0.214285714285714,0.0279411764705882,0.991407209880375
1435,8,187,28,2,6,129,8922,146472,137731,15,10,10,10,2,0.133333333333333,0.0353159851301115,0.114031940577028
1437,1,978,8,1,10,2,2,201029,153799,18,14,14,14,0,0.0659340659340659,0.0351851851851852,1
1595,0,46,26,4,10,0,0,3305,2661,12,12,12,12,2,0.0909090909090909,0.0353159851301115,0.0166534522408203
2852,0,0,2,3,9,0,0,0,0,16,0,0,0,0,0,0.05,0.0127463278242013
378227,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0.05,0.0127463278242013
378330,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0.05,0.0127463278242013
378982,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0.05,0.0127463278242013
379665,0,0,182,1,0,0,0,0,0,4,0,0,0,0,0,0.05,0.0127463278242013
379812,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0.05,0.0127463278242013
381801,0,0,13,3,0,0,0,0,0,8,0,0,0,0,0,0.05,0.0127463278242013
381916,0,0,1,1,0,0,0,0,0,11,0,0,0,0,0,0.05,0.0127463278242013
382457,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0.05,0.0127463278242013
382478,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0.05,0.0127463278242013
387138,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0.05,0.0127463278242013
414612,0,0,0,2,0,0,0,0,0,19,0,0,0,0,0,0.05,0.0127463278242013
432763,0,0,6,3,0,0,0,0,0,20,0,0,0,0,0,0.05,0.0127463278242013
432764,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0.05,0.0127463278242013
433031,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.05,0.0127463278242013
